it	posterior	likelihood	prior	mean_r	I_endemism	I_bm	I_body_size_change	I_island_type	m_endemism_0	m_endemism_1	m_bm_0	m_bm_1	m_bm_2	m_bm_3	m_bm_4	m_bm_5	m_bm_6	m_body_size_change_0	m_body_size_change_1	m_body_size_change_2	m_body_size_change_3	m_body_size_change_4	m_body_size_change_5	m_body_size_change_6	m_island_type_0	m_island_type_1	m_island_type_2	sd_endemism	sd_bm	sd_body_size_change	sd_island_type	beta_hp	pre_sapiens_effect_log10	sapiens_effect_log10
1000	-354.21223172103925	-342.0654213919686	-12.146810329070634	0.04801602490317915	0.0	0.0	0.0	0.0	0.4759587290032641	0.524041270996736	0.15005873018234012	0.13482936629954786	0.16566433799830865	0.13540814994238162	0.14695120234868403	0.12005998029033321	0.14702823293840472	0.16105024696530842	0.12180357526899685	0.15529908150322524	0.1375940783514213	0.13551220184052595	0.14854461341883582	0.14019620265168634	0.31478945057164137	0.2385561147935391	0.44665443463481946	0.11147726340836087	0.09700170152228946	0.12938571099627094	0.36564946440946583	0.014618761158980116	-0.4341479223457744	0.30372698143043103
1100	-344.4234190331426	-335.74338413941416	-8.680034893728394	0.04549219292329635	0.0	0.0	0.0	0.0	0.4133076031541384	0.5866923968458617	0.15005873018234012	0.13482936629954786	0.16566433799830865	0.13540814994238162	0.14695120234868403	0.12005998029033321	0.14702823293840472	0.16330292075141906	0.12350729026623077	0.1574713114532031	0.15003333043194805	0.13740766484375896	0.12612029961832205	0.14215718263511803	0.34621163598973553	0.3366461893601614	0.3171421746501031	0.23209823386745845	0.14163867610470396	0.1309758265991256	0.1614186020107832	0.04159412687588094	0.08782058304431245	0.21760222501725512
1200	-348.2513319375456	-329.7841659126088	-18.467166024936823	0.04371492753879083	1.0	0.0	0.0	0.0	0.3829198460353138	0.6170801539646863	0.1487470813034144	0.13365083582059356	0.1642162820075015	0.13422456037146152	0.1456667160706566	0.12775145108294603	0.14574307334342648	0.16330292075141906	0.12350729026623077	0.1574713114532031	0.15003333043194805	0.13740766484375896	0.12612029961832205	0.14215718263511803	0.27537969299129444	0.3161647609810717	0.40845554602763395	0.18765770123139733	0.09702758222065999	0.10535968426919955	0.4079880946476966	0.05900056029218515	0.21946123048015503	0.23544323139777124
1300	-352.45668990026644	-331.91751735350203	-20.539172546764384	0.03930635718477574	1.0	0.0	0.0	1.0	0.38395143096448475	0.6160485690355151	0.1487470813034144	0.13365083582059356	0.1642162820075015	0.13422456037146152	0.1456667160706566	0.12775145108294603	0.14574307334342648	0.162728749599824	0.12307304008407699	0.15691764417141635	0.14950581500408325	0.13692454110783128	0.1256768621259725	0.14517334790679573	0.3269323663401044	0.504340119817027	0.16872751384286863	0.15677933282716885	0.09704693969069379	0.14580013307900525	0.29872613436764917	0.03382046889783516	0.469357853520424	0.1782600773060692
1400	-342.6674228530154	-326.8661715022886	-15.801251350726824	0.03930635718477574	0.0	0.0	0.0	1.0	0.5189459419262513	0.4810540580737486	0.1487470813034144	0.13365083582059356	0.1642162820075015	0.13422456037146152	0.1456667160706566	0.12775145108294603	0.14574307334342648	0.162728749599824	0.12307304008407699	0.15691764417141635	0.14950581500408325	0.13692454110783128	0.1256768621259725	0.14517334790679573	0.3269323663401044	0.504340119817027	0.16872751384286863	0.17471473558571968	0.12684926277762787	0.1457428844002675	0.31469345590602965	0.028915625543770068	0.23848675659867183	0.30003916211496584
1500	-341.5040673121001	-327.8187333021143	-13.685334009985795	0.037068533382503786	0.0	0.0	0.0	1.0	0.47274178691963037	0.5272582130803697	0.15490076507287623	0.13879704519163727	0.13002275498043364	0.139777445788663	0.1516929647780605	0.13303654322838954	0.15177248095993978	0.162728749599824	0.12307304008407699	0.15691764417141635	0.14950581500408325	0.13692454110783128	0.1256768621259725	0.14517334790679573	0.306485048652733	0.38263483532176523	0.3108801160255017	0.10879973102000963	0.09506416822827714	0.12576615131248792	0.2533212327543703	0.04215719122260739	0.21273300822709185	0.46541140466543507
1600	-344.15340224743596	-332.8613761827743	-11.292026064661709	0.0402005169531787	0.0	0.0	0.0	0.0	0.5110466487396661	0.48895335126033385	0.15490076507287623	0.13879704519163727	0.13002275498043364	0.139777445788663	0.1516929647780605	0.13303654322838954	0.15177248095993978	0.162728749599824	0.12307304008407699	0.15691764417141635	0.14950581500408325	0.13692454110783128	0.1256768621259725	0.14517334790679573	0.306485048652733	0.38263483532176523	0.3108801160255017	0.13930178967341392	0.060891543947279095	0.10269914140947362	0.26238431835875303	0.015173435042752157	0.28253492043917505	0.3147459682339286
1700	-344.5043886564799	-332.83770980365153	-11.66667885282835	0.04008326039065795	0.0	0.0	0.0	0.0	0.4723190115563345	0.5276809884436655	0.15490076507287623	0.13879704519163727	0.13002275498043364	0.139777445788663	0.1516929647780605	0.13303654322838954	0.15177248095993978	0.162728749599824	0.12307304008407699	0.15691764417141635	0.14950581500408325	0.13692454110783128	0.1256768621259725	0.14517334790679573	0.3253551469887396	0.3179279535127276	0.35671689949853286	0.10420250587231582	0.06213480657784053	0.07253536480736587	0.19659573412417417	0.01708031125822192	0.28253492043917505	0.3147459682339286
1800	-347.3327860107238	-331.14607143882137	-16.186714571902446	0.040039189229201494	1.0	0.0	0.0	0.0	0.46694318776268	0.53305681223732	0.15490076507287623	0.13879704519163727	0.13002275498043364	0.139777445788663	0.1516929647780605	0.13303654322838954	0.15177248095993978	0.1563208519191166	0.11822669639833151	0.15073857494965437	0.14361860719616454	0.1709105407846614	0.12072798569623269	0.13945674305583897	0.3205084389573516	0.3280885552314689	0.3514030058111796	0.09140135663905957	0.05205611951485245	0.1458881751784094	0.14071313371564997	0.00914777289337318	0.28253492043917505	0.3147459682339286
1900	-361.6648967034391	-344.70744159724023	-16.957455106198896	0.040039189229201494	1.0	0.0	0.0	0.0	0.4248445585544316	0.5751554414455685	0.15490076507287623	0.13879704519163727	0.13002275498043364	0.139777445788663	0.1516929647780605	0.13303654322838954	0.15177248095993978	0.1563208519191166	0.11822669639833151	0.15073857494965437	0.14361860719616454	0.1709105407846614	0.12072798569623269	0.13945674305583897	0.3864185317606629	0.324146243897116	0.28943522434222113	0.08732397327591365	0.06599511940393193	0.09315251169963981	0.11269013956961678	0.004913224563331489	0.5389169724423317	0.6545824866273168
