species	Duration_overlap
Megalomys_curazensis	0
Megalomys_desmarestii	0.021215918
Megalomys_georginae	0.031801874
Megalomys_luciae	0.004954632
Megaoryzomys_curioi	0.002898719
Meles_anakuma	0.84
Melogale_everetti	0.49156151
Melomys_caurinus	0.023258319
Melomys_matambuai	0.187275156
Melomys_talaudium	0.023275057
Mesocapromys_gracilis	0
Mesocapromys_kraglievichi	0.053473727
Mesocapromys_minimus	0.05522466
Mesocapromys_nanus	0.05904
Mesocapromys_sanfelipensis	0.05904
Microtus_(Terricola)_ex_gr_Microtus_savii	0.192887362
Microtus_(Tyrrhenicola)_henseli	0.096541042
Microtus_miguelensis	0
Microtus_montebelli	0.84
Miniopterus_australis	0.5
Miniopterus_macrocneme	0.462425154
Miniopterus_tristis	0.329456363
Mogera_wogura	0.5
Mops_leucostigma	0.06759038
Mormoops_blainvillei	0.06024
Moschiola_kathygre	0.351142592
Moschiola_meminna	0.45
Muntiacini_gen_et_sp_indet	0.208140242
Muntiacus_muntjak	1.3
Mus_cypriacus	0.125
Mus_lopadusae	0
Mus_minotaurus	0.046105007
Mustela_erminea	0.84
Mustela_itatsi	0.84
Mustela_nivalis	0.84
Mustela_nudipes	0.329875285
Mustelercta_arzilla	0
Mydaus_marchei	0.354493343
Myotis_blythii	0.22
Myotis_capaccinii	0.22
Myotis_goudoti	0.105
Myotis_macrotarsus	0.157537292
Myotis_myotis	0.22
Myotragus_antiquus	0
Myotragus_balearicus	0.005683541
Myotragus_batei	0
Myotragus_binigausensis	0
Myotragus_kopperi	0
Mysateles_melanurus	0.05904
Mysateles_prehensilis	0.05904
Mystacina_robusta	0.002544077
Nesiotites_aff_N_ponsi	0
Nesiotites_hidalgo	0
Nesiotites_meloussae	0
Nesiotites_ponsi	0
Nesogoral_cenisae	0
Nesogoral_melonii	0
Nesogoral_sp_2	0
Nesorhinus_hayasakai	0
Nesorhinus_philippinensis	0
Nyctereutes_viverrinus	0.84
Nycticebus_coucang	0.534212734
Nycticebus_javanicus	0.206323926
Nyctimene_albiventer	0.44
Nyctimene_cephalotes	0.342086121
Nyctimene_major	0.1849537
Nyctophilus_howensis	0
Nyctophilus_nebulosus	0.028
Oriensictis_nipponica	0
Oryzomys_antillarum	0.008739474
Otomops_madagascariensis	0.105
Paguma_larvata	0.328458185
Palaeoloxodon_aff_P_creutzburgi	0
Palaeoloxodon_antiquus_leonardi	0
Palaeoloxodon_creutzburgi	0
Palaeoloxodon_cypriotes	0.065499319
Palaeoloxodon_ex_gr_P_mnaidriensis	0
Palaeoloxodon_falconeri	0
Palaeoloxodon_lomolinoi	0
Palaeoloxodon_sp_Rhodes	0
Palaeoloxodon_tiliensis	0
Palaeoloxodon_xylophagou	0
Pannonictis_baroniensis	0
Panthera_tigris	0.84
Paradoxurus_hermaphroditus	0.409394718
Paradoxurus_zeylonensis	0.350842687
Pellegrinia_panormensis	0
Pennatomys_nivalis	0.02012645
Peromyscus_nesodytes	0.102190593
Petaurista_leucogenys	0.84
Petaurista_petaurista	0.197234503
Pipistrellus_kuhlii	0.02311
Pipistrellus_maderensis	0.0153
Plagiodontia_aedium	0.06024
Plagiodontia_spelaeum	0
Plagiodontia_velozi	0.024426793
Plecotus_teneriffae	0.0153
Pongo_pygmaeus	1.3
Praemegaceros_cazioti	0.062710116
Praemegaceros_sardus	0
Presbytis_femoralis	0.100879093
Prionailurus_bengalensis	1.3
Prionailurus_planiceps	0.328665002
Prolagus_figaro	0
Prolagus_sardus	0.096627599
Pteropus_dasymallus	0.28
Pteropus_hypomelanus	0.187772912
Pteropus_macrotis	0.211
Pteropus_melanopogon	0.211
Pteropus_neohibernicus	0.355329936
Pteropus_niger	0.00312
Pteropus_rufus	0.067421557
Pteropus_tonganus	0.029
Pteropus_vampyrus	0.439862017
Rattus_tiomanicus	0.650414804
Ratufa_affinis	0.5
Ratufa_bicolor	0.357752499
Rhagamys_orthodon	0.096582077
Rhinolophus_blasii	0.22
Rhinolophus_creaghi	0.156199482
Rhinolophus_euryale	0.22
Rhinolophus_hipposideros	0.22
Rousettus_amplexicaudatus	0.342070927
Rousettus_madagascariensis	0.105
Rusa_alfredi	0.210510764
Rusa_marianna	0.58
Rusa_timorensis	1.3
Rusa_unicolor	0.73
Sardolutra_ichnusae	0
Sciurus_lis	0.84
Solenodon_cubanus	0.05904
Solomys_ponceleti	0.28
Solomys_salebrosus	0.28
Sorex_caecutiens	0.84
Sorex_hosonoi	0.84
Sorex_ornatus	0.13
Sorex_shinto	0.84
Spilocuscus_kraemeri	0.188080613
Spilocuscus_rufoniger	0.455291724
Spilogale_gracilis	0.13
Srilankamys_ohiensis	0.350616738
Stegodon_aurorae	0
Stegodon_florensis_florensis	0
Stegodon_florensis_insularis	0
Stegodon_luzonensis	0
Stegodon_sompoensis	0
Stegodon_sondaari	0
Stegodon_sp_B_Sulawesi	0
Stegodon_sumbaensis	2.444158458
Stegodon_timorensis	0
Stegodon_trigonocephalus	0
Suncus_murinus	0.081882668
Sundamys_muelleri	0.514890371
Sundasciurus_lowii	0.328941579
Sus_ahoenobarbus	0.376085587
Sus_barbatus	0.73
Sus_celebensis	0.455
Sus_oliveri	0.32
Sus_philippensis	0.3
Sus_sondaari	0
Sus_verrucosus	0.206172023
Talpa_tyrrhenica	0
Taphozous_melanopogon	0.33012017
Thylogale_browni	0.15965481
Thylogale_brunii	0.400113249
Trachypithecus_auratus	0.345195612
Trachypithecus_cristatus	1.3
Tragulus_kanchil	0.328439524
Tragulus_napu	0.384124991
Tupaia_minor	0.328653996
Urocyon_littoralis	0.13
Ursus_arctos	0.84
Vandeleuria_nolthenii	0.351534504
Viverra_tangalunga	0.339468969
Viverricula_indica	0.45
Vulpes_vulpes	0.84
Xenocyon_merriami	0
Xenocyon_trinilensis	0
Xenothrix_mcgregori	0.003997041
Zygodontomys_brevicauda	0.03895
