species	index_ext_event	pre_sapiens	sapiens
Sus_philippensis	2	4.354499895	3
Sus_verrucosus	2	0	1.845872959
Talpa_tyrrhenica	1	1.559309031	0
Taphozous_melanopogon	2	0	3.080394047
Thylogale_browni	2	0	1.823166264
Thylogale_brunii	2	0	3.787556665
Trachypithecus_auratus	2	0	3.209179683
Trachypithecus_cristatus	2	2.84912193	7
Tragulus_kanchil	2	0	3.090116174
Tragulus_napu	2	0	3.305690008
Tupaia_minor	2	0	3.073866082
Urocyon_littoralis	2	0	1.2
Ursus_arctos	2	6.734355858	5
Vandeleuria_nolthenii	2	0	2.857686684
Viverra_tangalunga	2	0	3.170392356
Viverricula_indica	2	0	3.8
Vulpes_vulpes	2	0	3.323
Xenothrix_mcgregori	2	0	0.044015261
Zygodontomys_brevicauda	2	0	0.3895
