species	index_ext_event	pre_sapiens	sapiens
Myotis_myotis	2	3.78	0.22
Myotragus_antiquus	0	0	0
Myotragus_balearicus	2	0	0.004531097
Myotragus_batei	0	0	0
Myotragus_binigausensis	0	0	0
Myotragus_kopperi	0	0	0
Mysateles_melanurus	2	0	0.05904
Mysateles_prehensilis	2	0	0.05904
Mystacina_robusta	2	0	0.002067488
Nesiotites_aff_N_ponsi	0	0	0
Nesiotites_hidalgo	0	0	0
Nesiotites_meloussae	0	0	0
Nesiotites_ponsi	0	0	0
Nesogoral_cenisae	0	0	0
Nesogoral_melonii	0	0	0
Nesogoral_sp_2	0	0	0
Nesorhinus_hayasakai	1	0.602632841	0
Nesorhinus_philippinensis	1	5.288174849	0
Nyctereutes_viverrinus	2	0	0.84
Nycticebus_coucang	2	0	0.5
Nycticebus_javanicus	2	0	0.228089348
Nyctimene_albiventer	2	0	0.44
Nyctimene_cephalotes	2	0	0.348839108
Nyctimene_major	2	0	0.181679407
Nyctophilus_howensis	0	0	0
Nyctophilus_nebulosus	2	0	0.028
Oriensictis_nipponica	0	0	0
Oryzomys_antillarum	2	0	0.008690255
Otomops_madagascariensis	2	0	0.105
Paguma_larvata	2	0	0.295175694
Palaeoloxodon_aff_P_creutzburgi	0	0	0
Palaeoloxodon_antiquus_leonardi	0	0	0
Palaeoloxodon_creutzburgi	1	1.113843904	0
Palaeoloxodon_cypriotes	2	0	0.057417789
Palaeoloxodon_ex_gr_P_mnaidriensis	0	0	0
Palaeoloxodon_ex_gr_P_falconeri	0	0	0
Palaeoloxodon_lomolinoi	1	0.42955317	0
Palaeoloxodon_sp_Rhodes	0	0	0
Palaeoloxodon_tiliensis	0	0	0
Palaeoloxodon_xylophagou	0	0	0
Pannonictis_baroniensis	0	0	0
Panthera_tigris	2	3.66	0.84
Paradoxurus_hermaphroditus	2	0	0.388889589
Paradoxurus_zeylonensis	2	0	0.369382471
Pellegrinia_panormensis	0	0	0
Pennatomys_nivalis	2	0	0.03660685
Peromyscus_nesodytes	2	0	0.10242
Petaurista_leucogenys	2	0	0.84
Petaurista_petaurista	2	0	0.179427009
Pipistrellus_kuhlii	2	0	0.02311
Pipistrellus_maderensis	2	0	0.0153
Plagiodontia_aedium	2	0	0.06024
Plagiodontia_spelaeum	0	0	0
Plagiodontia_velozi	2	0	0.017941755
Plecotus_teneriffae	2	0	0.0153
Pongo_pygmaeus	2	0.722256373	1.3
Praemegaceros_cazioti	2	3.88866	0.060529257
Praemegaceros_sardus	1	0.862276375	0
Presbytis_femoralis	2	0	0.076989134
Prionailurus_bengalensis	2	10.85335404	1.3
Prionailurus_planiceps	2	0	0.295261361
Proechimys_semispinosus	2	0	0.06
Prolagus_figaro	0	0	0
Prolagus_sardus	2	3.88866	0.097595421
Pteropus_dasymallus	2	0	0.28
Pteropus_hypomelanus	2	0	0.190020416
Pteropus_macrotis	2	0	0.211
Pteropus_melanopogon	2	0	0.211
Pteropus_neohibernicus	2	0	0.368326689
Pteropus_niger	2	0	0.00312
Pteropus_rufus	2	0	0.069681108
Pteropus_tonganus	2	0	0.02996
Pteropus_vampyrus	2	0	0.387450849
Rattus_tiomanicus	2	0	0.652683859
Ratufa_affinis	2	0	0.493093793
Ratufa_bicolor	2	0	0.399650259
Rhagamys_orthodon	2	3.88866	0.09756388
Rhinolophus_blasii	2	0	0.22
Rhinolophus_creaghi	2	0	0.174614277
Rhinolophus_euryale	2	0	0.22
Rhinolophus_hipposideros	2	3.78	0.22
