species	Duration_overlap_old_chr
Sorex_caecutiens	0.84
Sorex_hosonoi	0.84
Sorex_ornatus	0.13
Sorex_shinto	0.84
Spilocuscus_kraemeri	0.175535112
Spilocuscus_rufoniger	0.4742835
Spilogale_gracilis	0.13
Srilankamys_ohiensis	0.376649243
Stegodon_aurorae	0
Stegodon_florensis_florensis	0
Stegodon_florensis_insularis	0
Stegodon_luzonensis	0
Stegodon_sompoensis	0
Stegodon_sondaari	0
Stegodon_sp_B_Sulawesi	0
Stegodon_sumbaensis	2.53579973
Stegodon_timorensis	0
Stegodon_trigonocephalus	0
Suncus_murinus	0.083585484
Sundamys_muelleri	0.58
Sundasciurus_lowii	0.374360088
Sus_ahoenobarbus	0.336098262
Sus_barbatus	0.73
Sus_celebensis	0.455
Sus_oliveri	0.32
Sus_philippensis	0.3
Sus_sondaari	0
Sus_verrucosus	0.191692501
Talpa_tyrrhenica	0
Taphozous_melanopogon	0.374815084
Thylogale_browni	0.200815263
Thylogale_brunii	0.487045982
Trachypithecus_auratus	0.372713805
Trachypithecus_cristatus	1.3
Tragulus_kanchil	0.374417981
Tragulus_napu	0.442615911
Tupaia_minor	0.374888631
Urocyon_littoralis	0.13
Ursus_arctos	0.84
Vandeleuria_nolthenii	0.375903351
Viverra_tangalunga	0.381681837
Viverricula_indica	0.45
Vulpes_vulpes	0.84
Xenocyon_trinilensis	0
Xenothrix_mcgregori	0.004324889
Zygodontomys_brevicauda	0.03895
