species	index_ext_event	pre_sapiens	sapiens
Nyctophilus_howensis	0	0	0
Nyctophilus_nebulosus	2	0	0.028
Oriensictis_nipponica	0	0	0
Oryzomys_antillarum	2	0	0.008507514
Otomops_madagascariensis	2	0	0.02
Paguma_larvata	2	0	0.375275596
Palaeoloxodon_aff_P_creutzburgi	0	0	0
Palaeoloxodon_antiquus_leonardi	0	0	0
Palaeoloxodon_creutzburgi	1	1.097194132	0
Palaeoloxodon_cypriotes	2	0	0.062871064
Palaeoloxodon_ex_gr_P_mnaidriensis	0	0	0
Palaeoloxodon_falconeri	0	0	0
Palaeoloxodon_lomolinoi	1	0.308196672	0
Palaeoloxodon_sp_Rhodes	0	0	0
Palaeoloxodon_tiliensis	0	0	0
Palaeoloxodon_xylophagou	0	0	0
Pannonictis_baroniensis	0	0	0
Panthera_tigris	2	0	0.63
Paradoxurus_hermaphroditus	2	0	0.434790879
Paradoxurus_zeylonensis	2	0	0.375937718
Pellegrinia_panormensis	0	0	0
Pennatomys_nivalis	2	0	0.019938315
Peromyscus_nesodytes	2	0	0.093068789
Petaurista_leucogenys	2	0	0.3372
Petaurista_petaurista	2	0	0.198870899
Pipistrellus_kuhlii	2	0	0.02311
Pipistrellus_maderensis	2	0	0.0153
Plagiodontia_aedium	2	0	0.06024
Plagiodontia_spelaeum	0	0	0
Plagiodontia_velozi	2	0	0.019286586
Plecotus_teneriffae	2	0	0.0153
Pongo_pygmaeus	2	1.315190697	0.7
Praemegaceros_cazioti	2	3.88866	0.06551234
Presbytis_femoralis	2	0	0.064003393
Prionailurus_bengalensis	2	11.43922661	0.7
Prionailurus_planiceps	2	0	0.375423254
Prolagus_sardus	2	3.88866	0.096809654
Pteropus_dasymallus	2	0	0.24
Pteropus_hypomelanus	2	0	0.174483264
Pteropus_macrotis	2	0	0.211
Pteropus_melanopogon	2	0	0.211
Pteropus_neohibernicus	2	0	0.35
Pteropus_niger	2	0	0.00312
Pteropus_rufus	2	0	0.02
Pteropus_tonganus	2	0	0.02719
Pteropus_vampyrus	2	0	0.45
Rattus_tiomanicus	2	0	0.667679349
Ratufa_affinis	2	0	0.45
Ratufa_bicolor	2	0	0.364298799
Rhagamys_orthodon	2	3.88866	0.096761689
Rhinolophus_blasii	2	0	0.22
Rhinolophus_creaghi	2	0	0.177535556
Rhinolophus_euryale	2	0	0.22
Rhinolophus_hipposideros	2	3.78	0.22
Rousettus_amplexicaudatus	2	0	0.390802601
Rousettus_madagascariensis	2	0	0.02
Rusa_alfredi	2	0	0.21280097
Rusa_marianna	2	6.62	0.47
Rusa_timorensis	2	12.3	0.7
Rusa_unicolor	2	0	0.63
Sardolutra_ichnusae	1	0.182161165	0
Sciurus_lis	2	0	0.3323
Solenodon_cubanus	2	0	0.05904
Solomys_ponceleti	2	0	0.28
Solomys_salebrosus	2	0	0.28
Sorex_caecutiens	2	0	0.3323
Sorex_hosonoi	2	0	0.3323
Sorex_ornatus	2	0	0.12
Sorex_shinto	2	0	0.3372
Spilocuscus_kraemeri	2	0	0.175535112
Spilocuscus_rufoniger	2	0	0.43
Spilogale_gracilis	2	0	0.12
Srilankamys_ohiensis	2	0	0.376649243
Stegodon_aurorae	0	0	0
Stegodon_florensis_florensis	1	1.956163713	0
Stegodon_florensis_insularis	1	0.176498342	0
Stegodon_luzonensis	1	5.551604927	0
Stegodon_sompoensis	1	0.02186787	0
Stegodon_sondaari	0	0	0
Stegodon_sp_B_Sulawesi	1	0.798384853	0
Stegodon_sumbaensis	1	2.53579973	0
Stegodon_timorensis	0	0	0
Stegodon_trigonocephalus	1	11.34451066	0
Suncus_murinus	2	0	0.083585484
Sundamys_muelleri	2	0	0.47
Sundasciurus_lowii	2	0	0.374360088
Sus_ahoenobarbus	2	0	0.336098262
Sus_barbatus	2	0	0.63
Sus_celebensis	2	1.485	0.455
Sus_oliveri	2	0	0.32
Sus_philippensis	2	0.39872733	0.3
Sus_sondaari	0	0	0
Sus_verrucosus	2	0	0.191692501
Talpa_tyrrhenica	1	3.861118498	0
Taphozous_melanopogon	2	0	0.374815084
Thylogale_browni	2	0	0.200815263
Thylogale_brunii	2	0	0.43
Trachypithecus_auratus	2	0	0.372713805
Trachypithecus_cristatus	2	10.25148061	0.7
Tragulus_kanchil	2	0	0.374417981
Tragulus_napu	2	0	0.442615911
Tupaia_minor	2	0	0.374888631
Urocyon_littoralis	2	0	0.12
Ursus_arctos	2	4	0.5
Vandeleuria_nolthenii	2	0	0.375903351
Viverra_tangalunga	2	0	0.381681837
Viverricula_indica	2	0	0.38
Vulpes_vulpes	2	0	0.3323
Xenocyon_trinilensis	1	1.75390175	0
Xenothrix_mcgregori	2	0	0.004324889
Zygodontomys_brevicauda	2	0	0.03895
