time_ext,rate_ext,minHPD_ext,maxHPD_ext
-2.88118905,0.024511329,0.01252158,0.048557791
-2.931296686,0.024496641,0.012778295,0.048500828
-2.981404322,0.024492278,0.012554637,0.048167427
-3.031511957,0.024487917,0.01278673,0.048249819
-3.081619593,0.024488081,0.01260976,0.048011191
-3.131727229,0.024484817,0.012773517,0.048062466
-3.181834864,0.024484136,0.012781108,0.048012979
-3.2319425,0.024484817,0.012778295,0.047806712
-3.282050136,0.024487279,0.012504338,0.047480303
-3.332157771,0.024487236,0.012518923,0.047476403
-3.382265407,0.024522604,0.012543369,0.047492303
-3.432373043,0.02452644,0.01252158,0.047476403
-3.482480678,0.024534984,0.01278673,0.047806712
-3.532588314,0.024535682,0.012553697,0.047467941
-3.58269595,0.024564677,0.012991825,0.048038398
-3.632803585,0.024581651,0.013002072,0.048182799
-3.682911221,0.024620394,0.013015576,0.048472038
-3.733018857,0.024637654,0.013015576,0.048555195
-3.783126492,0.024694345,0.012958573,0.048873441
-3.833234128,0.024702905,0.012867539,0.048873441
-3.883341764,0.024683091,0.012994883,0.048557791
-3.933449399,0.024682085,0.013023574,0.048550095
-3.983557035,0.024674925,0.01306298,0.048459466
-4.033664671,0.024671047,0.01306298,0.048402466
-4.083772306,0.024667507,0.012994883,0.048249819
-4.133879942,0.024663292,0.01305642,0.048196533
-4.183987578,0.024658,0.013015576,0.048035253
-4.234095213,0.024651649,0.01306298,0.047983922
-4.284202849,0.024642064,0.013058747,0.047817304
-4.334310484,0.024637797,0.01306298,0.047755634
-4.38441812,0.024613776,0.013023574,0.047315008
-4.434525756,0.024603291,0.013144332,0.047287864
-4.484633391,0.024591872,0.013128773,0.047118239
-4.534741027,0.024583362,0.013183565,0.047107442
-4.584848663,0.024581342,0.013222477,0.047118239
-4.634956298,0.024577394,0.013257218,0.047098348
-4.685063934,0.024571237,0.01306592,0.046858346
-4.73517157,0.024565418,0.01314363,0.046875108
-4.785279205,0.024559393,0.013411305,0.047094915
-4.835386841,0.024551257,0.013227942,0.046858346
-4.885494477,0.024545952,0.013263413,0.046860182
-4.935602112,0.024535866,0.013063059,0.04661182
-4.985709748,0.024529455,0.013063059,0.046539824
-5.035817384,0.024519417,0.013053691,0.046469012
-5.085925019,0.024508329,0.013063059,0.046394874
-5.136032655,0.024491729,0.013131923,0.046373278
-5.186140291,0.024484665,0.013148885,0.046369266
-5.236247926,0.024472371,0.013148885,0.046308497
-5.286355562,0.024459475,0.013250297,0.046353436
-5.336463198,0.024439188,0.012893339,0.045901422
-5.386570833,0.02443102,0.012918682,0.045883026
-5.436678469,0.024411216,0.013053691,0.045952428
-5.486786105,0.024381985,0.012565381,0.04526714
-5.53689374,0.024359888,0.012553697,0.045136816
-5.587001376,0.024345107,0.012565795,0.045104447
-5.637109012,0.024320909,0.012565381,0.045048074
-5.687216647,0.024288367,0.012233744,0.044583185
-5.737324283,0.024267758,0.0123893,0.044667895
-5.787431919,0.024238068,0.0123893,0.044558324
-5.837539554,0.024196407,0.012029796,0.04413983
-5.88764719,0.024155257,0.012099195,0.04413983
-5.937754826,0.024121378,0.012019637,0.043945304
-5.987862461,0.024074698,0.012042356,0.043772018
-6.037970097,0.024023566,0.011979123,0.043603517
-6.088077733,0.023972082,0.011427329,0.042912163
-6.138185368,0.023927245,0.011435576,0.042857003
-6.188293004,0.023872531,0.010624471,0.041923042
-6.23840064,0.023809738,0.010082768,0.041178683
-6.288508275,0.023760395,0.010060397,0.040975438
-6.338615911,0.023720279,0.010029822,0.040779438
-6.388723547,0.023670709,0.009397716,0.039900782
-6.438831182,0.023617746,0.009397716,0.039687544
-6.488938818,0.023548916,0.009397716,0.03940394
-6.539046453,0.023487299,0.00918596,0.038978945
-6.589154089,0.023439053,0.009192696,0.038778479
-6.639261725,0.023401588,0.009330773,0.038775397
-6.68936936,0.023361175,0.009397716,0.038689527
-6.739476996,0.023324033,0.009319621,0.038516883
-6.789584632,0.023291974,0.008943431,0.038026247
-6.839692267,0.023262053,0.009076118,0.038029624
-6.889799903,0.023233715,0.008540576,0.037384209
-6.939907539,0.023204708,0.008148474,0.036866453
-6.990015174,0.023166789,0.008148474,0.036685622
-7.04012281,0.023144846,0.008142008,0.036575064
-7.090230446,0.023105381,0.008123038,0.036456538
-7.140338081,0.023072862,0.008137707,0.036354055
-7.190445717,0.023045735,0.008131594,0.036285432
-7.240553353,0.023006845,0.008137707,0.036171514
-7.290660988,0.022982328,0.008139245,0.036094965
-7.340768624,0.02296213,0.007992383,0.035883011
-7.39087626,0.022925648,0.008123038,0.035895983
-7.440983895,0.022904556,0.00814509,0.035884214
-7.491091531,0.022877353,0.007921262,0.035610869
-7.541199167,0.022848674,0.00783557,0.035459537
-7.591306802,0.022827219,0.007881046,0.035445937
-7.641414438,0.022806571,0.007938009,0.035458765
-7.691522074,0.022779395,0.007741589,0.035231001
-7.741629709,0.022759747,0.007723226,0.03520015
-7.791737345,0.022729103,0.007482681,0.034892351
-7.841844981,0.022694936,0.007538682,0.034859047
-7.891952616,0.022671424,0.007553764,0.034842594
-7.942060252,0.02263241,0.007625599,0.034857372
-7.992167888,0.022606441,0.007625599,0.034840905
-8.042275523,0.02257813,0.007545568,0.034754388
-8.092383159,0.022545909,0.007480363,0.03469411
-8.142490795,0.02251247,0.00721082,0.034386703
-8.19259843,0.022486661,0.007209816,0.034373417
-8.242706066,0.022450966,0.007167757,0.034281083
-8.292813702,0.022405648,0.006837882,0.033922104
-8.342921337,0.022360072,0.006745806,0.033768826
-8.393028973,0.022310057,0.006619385,0.033576628
-8.443136609,0.022269728,0.00665318,0.033571495
-8.493244244,0.022236743,0.006580103,0.033467034
-8.54335188,0.022198808,0.006520236,0.033344002
-8.593459516,0.022167101,0.006516903,0.033294644
