mids,counts
-8.632621116,0.00967706
-8.682665296,0.00903118
-8.732709477,0.006247216
-8.782753657,0.018730512
-8.832797837,0.013685969
-8.882842018,0.006714922
-8.932886198,0.006314031
-8.982930379,0.00564588
-9.032974559,0.01454343
-9.083018739,0.010890869
-9.13306292,0.00714922
-9.1831071,0.006414254
-9.23315128,0.003986637
-9.283195461,0.003095768
-9.333239641,0.002884187
-9.383283822,0.008619154
-9.433328002,0.009187082
-9.483372182,0.006737194
-9.533416363,0.005534521
-9.583460543,0.009365256
-9.633504724,0.004376392
-9.683548904,0.009610245
-9.733593084,0.004120267
-9.783637265,0.005233853
-9.833681445,0.003975501
-9.883725625,0.004554566
-9.933769806,0.003608018
-9.983813986,0.003830735
-10.03385817,0.005178174
-10.08390235,0.004944321
-10.13394653,0.003752784
-10.18399071,0.00298441
-10.23403489,0.002427617
-10.28407907,0.002405345
-10.33412325,0.002750557
-10.38416743,0.002271715
-10.43421161,0.002561247
-10.48425579,0.002060134
-10.53429997,0.001737194
-10.58434415,0.001904232
-10.63438833,0.003062361
-10.68443251,0.002605791
-10.73447669,0.002817372
-10.78452087,0.003919822
-10.83456505,0.0022049
-10.88460923,0.001770601
-10.93465341,0.002750557
-10.98469759,0.003396437
-11.03474177,0.00233853
-11.08478595,0.003563474
-11.13483013,0.003218263
-11.18487432,0.001870824
-11.2349185,0.00325167
-11.28496268,0.003106904
-11.33500686,0.002126949
-11.38505104,0.001948775
-11.43509522,0.003730512
-11.4851394,0.00298441
-11.53518358,0.003195991
-11.58522776,0.00247216
-11.63527194,0.003084633
-11.68531612,0.004008909
-11.7353603,0.004610245
-11.78540448,0.004097996
-11.83544866,0.003786192
-11.88549284,0.004576837
-11.93553702,0.003719376
-11.9855812,0.006258352
-12.03562538,0.006514477
-12.08566956,0.00481069
-12.13571374,0.003708241
-12.18575792,0.004465479
-12.2358021,0.003329621
-12.28584628,0.003986637
-12.33589046,0.002104677
-12.38593464,0.002449889
-12.43597882,0.002227171
-12.48602301,0.002438753
-12.53606719,0.001703786
-12.58611137,0.002104677
-12.63615555,0.001848552
-12.68619973,0.001837416
-12.73624391,0.002416481
