mids,counts
-7.869879711,0.000345212
-7.920166483,0.000345212
-7.970453254,0.000311804
-8.020740025,0.000356347
-8.071026797,0.000289532
-8.121313568,0.000467706
-8.171600339,0.000389755
-8.22188711,0.000345212
-8.272173882,0.000356347
-8.322460653,0.000846325
-8.372747424,0.0005902
-8.423034196,0.000356347
-8.473320967,0.000601336
-8.523607738,0.000746102
-8.57389451,0.000668151
-8.624181281,0.000902004
-8.674468052,0.001069042
-8.724754824,0.000801782
-8.775041595,0.000857461
-8.825328366,0.000857461
-8.875615138,0.000690423
-8.925901909,0.000712695
-8.97618868,0.000801782
-9.026475452,0.000623608
-9.076762223,0.000801782
-9.127048994,0.00077951
-9.177335766,0.001046771
-9.227622537,0.000902004
-9.277909308,0.000790646
-9.328196079,0.000812918
-9.378482851,0.000734967
-9.428769622,0.001002227
-9.479056393,0.001113586
-9.529343165,0.001035635
-9.579629936,0.001135857
-9.629916707,0.000946548
-9.680203479,0.001380846
-9.73049025,0.000890869
-9.780777021,0.000868597
-9.831063793,0.000679287
-9.881350564,0.000924276
-9.931637335,0.000746102
-9.981924107,0.001269488
-10.03221088,0.000734967
-10.08249765,0.00123608
-10.13278442,0.001336303
-10.18307119,0.001091314
-10.23335796,0.000612472
-10.28364473,0.000812918
-10.33393151,0.001358575
-10.38421828,0.001046771
-10.43450505,0.000957684
-10.48479182,0.000556793
-10.53507859,0.000556793
-10.58536536,0.000690423
-10.63565213,0.00096882
-10.68593891,0.000824053
-10.73622568,0.000924276
-10.78651245,0.000489978
-10.83679922,0.000489978
-10.88708599,0.000812918
-10.93737276,0.000423163
-10.98765953,0.000489978
-11.0379463,0.000356347
-11.08823308,0.000501114
-11.13851985,0.000356347
-11.18880662,0.000367483
-11.23909339,0.00032294
-11.28938016,0.000300668
-11.33966693,0.000256125
-11.3899537,0.000389755
-11.44024047,0.000256125
-11.49052725,0.000278396
-11.54081402,0.000167038
-11.59110079,0.000233853
-11.64138756,0.000289532
-11.69167433,0.000200445
-11.7419611,0.000300668
-11.79224787,0.000178174
-11.84253465,0.000155902
-11.89282142,0.00018931
-11.94310819,0.000167038
-11.99339496,0.000178174
-12.04368173,0.000200445
-12.0939685,0.000167038
-12.14425527,0.000122494
-12.19454204,0.000167038
-12.24482882,0.00018931
-12.29511559,0.000155902
-12.34540236,0.000222717
-12.39568913,0.000122494
-12.4459759,0.000155902
-12.49626267,0.000167038
-12.54654944,0.000100223
-12.59683622,0.000111359
-12.64712299,0.000155902
-12.69740976,0.000167038
-12.74769653,0.00018931
-12.7979833,0.00032294
-12.84827007,0.000356347
-12.89855684,0.000100223
-12.94884361,0
