Order,Family,Taxon_name_original,Taxon_name_analysis,Local_Status,Global_Status,MinAge,MaxAge,Site,Island,Source,Criteria
Artiodactyla,Suidae,Celebochoerus_heekereni,Celebochoerus_heekereni,extinct,extinct,1.8,2.5,Sompe (FVL 25),Sulawesi,Ingicco et al. 2016,Other geochronological data or stratigraphy: Biochronology or chronological seriation
Proboscidea,Stegodontidae,Stegodon_sompoensis,Stegodon_sompoensis,extinct,extinct,1.8,2.5,Sompe (FVL 25),Sulawesi,Zeitoun et al. 2015,Other geochronological data or stratigraphy: Biochronology or chronological seriation
Proboscidea,Elephantidae,Stegoloxodon_celebensis,Stegoloxodon_celebensis,extinct,extinct,1.8,2.5,Sompe (FVL 25),Sulawesi,Van den Bergh et al. 2001,Other geochronological data or stratigraphy: Biochronology or chronological seriation
Proboscidea,Elephantidae,Stegoloxodon_celebensis,Stegoloxodon_celebensis,extinct,extinct,1.8,2.5,Sabbang Baru (FVL 26),Sulawesi,Van den Bergh et al. 2001: Van den Bergh 1999,Other geochronological data or stratigraphy: Biochronology or chronological seriation
Artiodactyla,Suidae,Celebochoerus_heekereni,Celebochoerus_heekereni,extinct,extinct,1.8,2.5,Sabbang Baru (FVL 26),Sulawesi,Van den Bergh et al. 2001: Van den Bergh 1999,Other geochronological data or stratigraphy: Biochronology or chronological seriation
Proboscidea,Elephantidae,Stegoloxodon_celebensis,Stegoloxodon_celebensis,extinct,extinct,1.8,2.5,Lepangeng (FVL 1a b),Sulawesi,Van den Bergh et al. 2001: Van den Bergh 1999,Other geochronological data or stratigraphy: Biochronology or chronological seriation
Artiodactyla,Suidae,Celebochoerus_heekereni,Celebochoerus_heekereni,extinct,extinct,1.8,2.5,Lepangeng (FVL 1a b),Sulawesi,Van den Bergh et al. 2001: Van den Bergh 1999,Other geochronological data or stratigraphy: Biochronology or chronological seriation
Artiodactyla,Suidae,Celebochoerus_heekereni,Celebochoerus_heekereni,extinct,extinct,0.2,1.8,Beru,Sulawesi,Ingicco et al. 2016,Other geochronological data or stratigraphy: Biochronology or chronological seriation
Proboscidea,Elephantidae,Stegoloxodon_celebensis,Stegoloxodon_celebensis,extinct,extinct,0.2,1.8,Beru,Sulawesi,Van den Bergh 1999,Other geochronological data or stratigraphy: Biochronology or chronological seriation
Artiodactyla,Bovidae,Bubalus_grovesi,Bubalus_grovesi,extinct,extinct,0.0042,0.129,Beru,Sulawesi,Rozzi 2017,Other geochronological data or stratigraphy: Biochronology or chronological seriation
Artiodactyla,Suidae,Babyrousa_sp,Babyrousa_celebensis,extant,extant,0.0042,0.129,Beru,Sulawesi,Hooijer 1948,Other geochronological data or stratigraphy: Biochronology or chronological seriation
Proboscidea,Stegodontidae,Stegodon_sp,Stegodon_sp_Sulawesi,extinct,extinct,0.2,1.8,Beru,Sulawesi,Van den Bergh 1999: Hooijer 1972,Other geochronological data or stratigraphy: Biochronology or chronological seriation
Proboscidea,Stegodontidae,Stegodon_sompoensis,Stegodon_sompoensis,extinct,extinct,0.2,1.8,Beru,Sulawesi,Van den Bergh 1999,Other geochronological data or stratigraphy: Biochronology or chronological seriation
Artiodactyla,Suidae,Celebochoerus_heekereni,Celebochoerus_heekereni,extinct,extinct,0.2,1.8,Lakibong 1 (FVL 5),Sulawesi,Ingicco et al. 2016: Van den Bergh 1999,Other geochronological data or stratigraphy: Biochronology or chronological seriation
Proboscidea,Stegodontidae,Stegodon_sompoensis,Stegodon_sompoensis,extinct,extinct,0.2,1.8,Lakibong 1 (FVL 5),Sulawesi,Van den Bergh 1999,Other geochronological data or stratigraphy: Biochronology or chronological seriation
Proboscidea,Stegodontidae,Stegodon_cf_S_sompoensis,Stegodon_sompoensis,extinct,extinct,0.2,1.8,Lakibong 1 (FVL 5),Sulawesi,Van den Bergh 1999,Other geochronological data or stratigraphy: Biochronology or chronological seriation
Proboscidea,Elephantidae,Stegoloxodon_celebensis,Stegoloxodon_celebensis,extinct,extinct,0.2,1.8,Lakibong 1 (FVL 5),Sulawesi,Van den Bergh 1999,Other geochronological data or stratigraphy: Biochronology or chronological seriation
Proboscidea,Stegodontidae,Stegodon_sompoensis,Stegodon_sompoensis,extinct,extinct,0.2,1.8,Lakibong 2 (FVL 6),Sulawesi,Van den Bergh 1999,Other geochronological data or stratigraphy: Biochronology or chronological seriation
Proboscidea,Stegodontidae,Stegodon_cf_S_sompoensis,Stegodon_sompoensis,extinct,extinct,0.2,1.8,Lakibong 2 (FVL 6),Sulawesi,Van den Bergh 1999,Other geochronological data or stratigraphy: Biochronology or chronological seriation
Artiodactyla,Suidae,Celebochoerus_heekereni,Celebochoerus_heekereni,extinct,extinct,0.2,1.8,Lakibong 2 (FVL 6),Sulawesi,Ingicco et al. 2016: Van den Bergh 1999,Other geochronological data or stratigraphy: Biochronology or chronological seriation
Proboscidea,Elephantidae,Stegoloxodon_celebensis,Stegoloxodon_celebensis,extinct,extinct,0.2,1.8,Lakibong 2 (FVL 6),Sulawesi,Van den Bergh 1999,Other geochronological data or stratigraphy: Biochronology or chronological seriation
