Taxon_name	Status	MinAge	MaxAge	Site
Elasmodontomys_obliquus	extinct	0.1149	12.9	Ciales
Acratocnus_odontrigonus	extinct	0.1149	12.9	Ciales
Nesophontes_edithae	extinct	0.0797	12.9	Manati
Nesophontes_edithae	extinct	0.0797	12.9	Rio Piedras
Elasmodontomys_obliquus	extinct	0.1149	12.9	Rio Piedras
Eptesicus_fuscus	extant	0	12.9	Trujillo Alto
Mormoops_blainvillei	extant	0	12.9	Trujillo Alto
Nesophontes_edithae	extinct	0.0797	12.9	Cueva De Silva
Brachyphylla_cavernarum	extant	0	12.9	Cueva De Silva
Geocapromys_ingrahami_irrectus	extinct	1.17	12.9	Hanging Garden Crawl through Cave
Geocapromys_ingrahami_irrectus	extinct	1.17	12.9	Upper Pasture Cave
Mormoops_blainvillei	extant	1.17	12.9	Upper Pasture Cave
Macrotus_waterhousii	extant	1.17	12.9	Upper Pasture Cave
Geocapromys_ingrahami_irrectus	extinct	1.17	12.9	Williamstown
Geocapromys_ingrahami_irrectus	extinct	1.17	12.9	Pigeon Cay
Isolobodon_montanus	extinct	0.42	12.9	Unnamed Cave Parque del Este
Isolobodon_portoricensis	extinct	0.42	12.9	Unnamed Cave Parque del Este
Parocnus_serus	extinct	0.42	12.9	Gold Mine
Acratocnus_ye	extinct	0.42	12.9	Bayaguana
Megalocnus_zile	extinct	0.42	12.9	Bayaguana
Neocnus_comes	extinct	0.42	12.9	Bayaguana
Parocnus_serus	extinct	0.42	12.9	Bayaguana
Neocnus_comes	extinct	0.42	12.9	Boca del Infierno
Brotomys_voratus	extinct	0.42	12.9	Boca del Infierno
Isolobodon_portoricensis	extinct	0.42	12.9	Boca del Infierno
Quemisia_gravis	extinct	0.42	12.9	Boca del Infierno
Nesophontes_zamicrus	extinct	0.0458	12.9	Caverne St Martin
Nesophontes_paramicrus	extinct	0.42	12.9	Cayacoa
Nesophontes_paramicrus	extinct	0.0458	12.9	Cerro del Monte
Brotomys_voratus	extinct	0.0458	12.9	Cerro del Monte
Isolobodon_portoricensis	extinct	0.0458	12.9	Cerro del Monte
Plagiodontia_aedium	extant	0	12.9	Cerro del Monte
Nesophontes_hypomicrus	extinct	0.0458	12.9	Cerro de San Francisco
Nesophontes_zamicrus	extinct	0.0458	12.9	Cerro de San Francisco
Nesophontes_paramicrus	extinct	0.0458	12.9	Cerro de San Francisco
Artibeus_jamaicensis	extant	0	12.9	Cerro de San Francisco
Brachyphylla_nana	extant	0	12.9	Cerro de San Francisco
Chilonatalus_micropus	extant	0	12.9	Cerro de San Francisco
Eptesicus_fuscus	extant	0	12.9	Cerro de San Francisco
Erophylla_bombifrons	extant	0	12.9	Cerro de San Francisco
Dasypterus_insularis	extant	0.0458	12.9	Cerro de San Francisco
Macrotus_waterhousii	extant	0	12.9	Cerro de San Francisco
Monophyllus_redmani	extant	0	12.9	Cerro de San Francisco
Mormoops_blainvillei	extant	0	12.9	Cerro de San Francisco
Mormoops_megalophylla	extant	0.0458	12.9	Cerro de San Francisco
Natalus_major	extant	0	12.9	Cerro de San Francisco
Nyctinomops_macrotis	extant	0	12.9	Cerro de San Francisco
Phyllonycteris_poeyi	extant	0	12.9	Cerro de San Francisco
Phyllops_falcatus	extant	0	12.9	Cerro de San Francisco
Pteronotus_parnellii	extant	0	12.9	Cerro de San Francisco
Pteronotus_quadridens	extant	0	12.9	Cerro de San Francisco
Pteronotus_nov_sp_Hispaniola	extinct	0.0458	12.9	Cerro de San Francisco
Tadarida_brasiliensis	extant	0	12.9	Cerro de San Francisco
Neocnus_comes	extinct	0.42	12.9	Cueva de Buscan Sampie
Neocnus_comes	extinct	0.42	12.9	Cueva de Colon
Isolobodon_portoricensis	extinct	0.42	12.9	Cueva de Colon
Hexolobodon_phenax	extinct	0.42	12.9	Cueva de Colon
Neocnus_dousman	extinct	0.0458	12.9	Cueva de las Abejas
Acratocnus_ye	extinct	0.0458	12.9	Cueva de las Abejas
Neocnus_comes	extinct	0.0458	12.9	Cueva de las Abejas
Isolobodon_portoricensis	extinct	0.0458	12.9	Cueva de las Abejas
Parocnus_serus	extinct	0.42	12.9	Cueva de las Aves
Hyperplagiodontia_araeum	extinct	0.42	12.9	Cueva de la Virgen
Nesophontes_hypomicrus	extinct	0.42	12.9	Cueva del Campanario
Isolobodon_portoricensis	extinct	0.42	12.9	Cueva de las Caritas
Nesophontes_hypomicrus	extinct	0.42	12.9	Cueva de las Tortugas
Hyperplagiodontia_araeum	extinct	0.42	12.9	Cueva de las Tortugas
Plagiodontia_aedium	extant	0.42	12.9	Cueva de las Tortugas
Chilonatalus_micropus	extant	1.17	12.9	Cueva de Lily
Erophylla_bombifrons	extant	1.17	12.9	Cueva de Lily
Monophyllus_redmani	extant	1.17	12.9	Cueva de Lily
Mormoops_blainvillei	extant	1.17	12.9	Cueva de Lily
Phyllonycteris_poeyi	extant	1.17	12.9	Cueva de Lily
Pteronotus_macleayii	extant	1.17	12.9	Cueva de Lily
Pteronotus_parnellii	extant	1.17	12.9	Cueva de Lily
Pteronotus_quadridens	extant	1.17	12.9	Cueva de Lily
Hyperplagiodontia_araeum	extinct	0.42	12.9	Cueva del Muerto
Isolobodon_portoricensis	extinct	0.42	12.9	Cueva del Muerto
Nesophontes_hypomicrus	extinct	0.42	12.9	Cueva del Muerto
Nesophontes_zamicrus	extinct	0.42	12.9	Cueva del Muerto
Plagiodontia_aedium	extant	0.42	12.9	Cueva del Muerto
Nesophontes_hypomicrus	extinct	0.42	12.9	Cueva de Mono
Nesophontes_hypomicrus	extinct	0.42	12.9	Cueva de Toupiti
Isolobodon_portoricensis	extinct	0.42	12.9	Cueva del Papayo
Isolobodon_montanus	extinct	0.42	12.9	Cueva del Papayo
Neocnus_comes	extinct	0.42	12.9	Cueva del Papayo
Plagiodontia_aedium	extant	0.42	12.9	Cueva del Papayo
Brotomys_voratus	extinct	0.42	12.9	Cueva del Papayo
Hyperplagiodontia_araeum	extinct	0.42	12.9	Cueva del Papayo
Solenodon_paradoxus	extant	0.42	12.9	Cueva del Papayo
Acratocnus_simorhynchus	extinct	2.2668	12.9	Cueva del Perezoso
Hyperplagiodontia_araeum	extinct	0.42	12.9	Cueva del Porvenir 1
Isolobodon_portoricensis	extinct	0.42	12.9	Cueva del Porvenir 1
Nesophontes_paramicrus	extinct	0.42	12.9	Cueva Escalante
Nesophontes_hypomicrus	extinct	0.42	12.9	Cueva Escalante
Nesophontes_zamicrus	extinct	0.42	12.9	Cueva Escalante
Brachyphylla_nana	extant	0.42	12.9	Cueva Escalante
Brotomys_voratus	extinct	0.42	12.9	Cueva Escalante
Isolobodon_portoricensis	extinct	0.42	12.9	Cueva Loma de Juan
Quemisia_gravis	extinct	0.42	12.9	Cueva Loma de Juan
Acratocnus_ye	extinct	0.42	12.9	Cueva Macho
Neocnus_dousman	extinct	0.42	12.9	Cueva Macho
Isolobodon_portoricensis	extinct	0.42	12.9	Cueva Natura Bass
Brotomys_voratus	extinct	0.42	12.9	Cueva Natura Bass
Hyperplagiodontia_araeum	extinct	0.42	12.9	Cueva no 12
Isolobodon_portoricensis	extinct	0.42	12.9	Cueva no 12
Isolobodon_montanus	extinct	0.42	12.9	Cueva no 12
Nesophontes_hypomicrus	extinct	0.42	12.9	Cueva no 12
Nesophontes_zamicrus	extinct	0.42	12.9	Cueva no 12
Plagiodontia_aedium	extant	0.42	12.9	Cueva no 12
Eptesicus_fuscus	extant	0.42	12.9	Dead Owl Cliff
Artibeus_jamaicensis	extant	0.42	12.9	Diquini
Macrotus_waterhousii	extant	0.42	12.9	Diquini
Monophyllus_redmani	extant	0.42	12.9	Diquini
Phyllonycteris_poeyi	extant	0.42	12.9	Diquini
Phyllops_falcatus	extant	0.42	12.9	Diquini
Pteronotus_parnellii	extant	0.42	12.9	Diquini
Brotomys_voratus	extinct	0.42	12.9	San Pedro de Macoris
Acratocnus_ye	extinct	0.42	12.9	El Toro
Neocnus_comes	extinct	0.0458	12.9	Trou Zombie
Parocnus_serus	extinct	0.0458	12.9	Trou Zombie
Hyperplagiodontia_araeum	extinct	0.0458	12.9	Trou Zombie
Nesophontes_zamicrus	extinct	0.0458	12.9	Caverne Veriswar
Nesophontes_zamicrus	extinct	0.0458	12.9	Caverne La Palmiste
Nesophontes_zamicrus	extinct	0.0458	12.9	Veuter Nan Plume
Nesophontes_hypomicrus	extinct	0.42	12.9	En Cafe
Brotomys_voratus	extinct	0.42	12.9	En Cafe
Isolobodon_portoricensis	extinct	0.42	12.9	En Cafe
Isolobodon_montanus	extinct	0.42	12.9	En Cafe
Neocnus_comes	extinct	0.42	12.9	En Cafe
Hexolobodon_phenax	extinct	0.42	12.9	En Cafe
Artibeus_jamaicensis	extant	0.42	12.9	En Cafe
Macrotus_waterhousii	extant	0.42	12.9	En Cafe
Monophyllus_redmani	extant	0.42	12.9	En Cafe
Mormoops_blainvillei	extant	0.42	12.9	En Cafe
Pteronotus_parnellii	extant	0.42	12.9	En Cafe
Parocnus_dominicanus	extinct	0.42	12.9	La Jeringa cave
Parocnus_serus	extinct	0.42	12.9	Ni Rahu
Nesophontes_paramicrus	extinct	0.42	12.9	Ni Rahu
Isolobodon_portoricensis	extinct	0.42	12.9	Ni Rahu
Plagiodontia_aedium	extant	0.42	12.9	Ni Rahu
Acratocnus_ye	extinct	0.42	12.9	Oveido
Neocnus_toupiti	extinct	0.42	12.9	Oveido
Parocnus_serus	extinct	0.42	12.9	Oveido
Antillothrix_bernensis	extinct	0.42	12.9	Pedernales cave
Isolobodon_nov_sp_Hispaniola	extinct	0.42	12.9	Pedernales cave
Parocnus_serus	extinct	0.42	12.9	Pedernales cave
Neocnus_nov_sp_Hispaniola	extinct	0.42	12.9	Pedernales cave
Neocnus_dousman	extinct	0.42	12.9	Pedernales cave
Acratocnus_ye	extinct	0.42	12.9	Pedernales cave
Nesophontes_hypomicrus	extinct	0.42	12.9	Pedernales cave
Solenodon_paradoxus	extant	0.42	12.9	Pedernales cave
Plagiodontia_aedium	extant	0.42	12.9	Pedernales cave
Hyperplagiodontia_araeum	extinct	0.42	12.9	Pedernales cave
Isolobodon_portoricensis	extinct	0.42	12.9	Pedernales cave
Hexolobodon_phenax	extinct	0.42	12.9	Pedernales cave
Brotomys_voratus	extinct	0.42	12.9	Pedernales cave
Artibeus_jamaicensis	extant	0.42	12.9	Port de Paix Trou de Bon Dieu
Brachyphylla_nana	extant	0.42	12.9	Port de Paix Trou de Bon Dieu
Eptesicus_fuscus	extant	0.42	12.9	Port de Paix Trou de Bon Dieu
Erophylla_bombifrons	extant	0.42	12.9	Port de Paix Trou de Bon Dieu
Phyllops_falcatus	extant	0.42	12.9	Port de Paix Trou de Bon Dieu
Solenodon_paradoxus	extant	1.17	12.9	Rancho de la Guardia
Solenodon_marcanoi	extinct	1.17	12.9	Rancho de la Guardia
Hyperplagiodontia_araeum	extinct	1.17	12.9	Rancho de la Guardia
Brotomys_contractus	extinct	1.17	12.9	Rancho de la Guardia
Plagiodontia_aedium	extant	1.17	12.9	Rancho de la Guardia
Isolobodon_portoricensis	extinct	0.0458	12.9	San Francisco
Isolobodon_montanus	extinct	0.0458	12.9	San Francisco
Quemisia_gravis	extinct	0.0458	12.9	San Francisco
Parocnus_serus	extinct	0.0458	12.9	San Francisco
Artibeus_jamaicensis	extant	0.0458	12.9	St Michel de l Atalaye
Brachyphylla_nana	extant	0.0458	12.9	St Michel de l Atalaye
Eptesicus_fuscus	extant	0.0458	12.9	St Michel de l Atalaye
Erophylla_bombifrons	extant	0.0458	12.9	St Michel de l Atalaye
Macrotus_waterhousii	extant	0.0458	12.9	St Michel de l Atalaye
