Taxon_name	Status	MinAge	MaxAge	Site
Prolagus_sardus	extinct	0.0198	0.0238	Araguina Sennola
Microtus_(Tyrrhenicola)_henseli	extinct	0.0106	0.015	Araguina Sennola
Rhagamys_orthodon	extinct	0.0106	0.015	Araguina Sennola
Asoriculus_corsicanus	extinct	0.0106	0.015	Araguina Sennola
Prolagus_sardus	extinct	0.0106	0.015	Araguina Sennola
Microtus_(Tyrrhenicola)_henseli	extinct	0.0082	0.0106	Araguina Sennola
Rhagamys_orthodon	extinct	0.0082	0.0106	Araguina Sennola
Asoriculus_corsicanus	extinct	0.0082	0.0106	Araguina Sennola
Prolagus_sardus	extinct	0.0082	0.0106	Araguina Sennola
Praemegaceros_cazioti	extinct	0.0412	0.076436	Teppa di U Lupinu Cave
Microtus_(Tyrrhenicola)_henseli	extinct	0.0412	0.076436	Teppa di U Lupinu Cave
Rhagamys_orthodon	extinct	0.0412	0.076436	Teppa di U Lupinu Cave
Asoriculus_corsicanus	extinct	0.0412	0.076436	Teppa di U Lupinu Cave
Prolagus_sardus	extinct	0.0412	0.076436	Teppa di U Lupinu Cave
Microtus_(Tyrrhenicola)_henseli	extinct	0.019832	0.029688	Torre d Aquila
Rhagamys_orthodon	extinct	0.02236	0.029688	Torre d Aquila
Prolagus_sardus	extinct	0.02236	0.029688	Torre d Aquila
Prolagus_sardus	extinct	0.033872	0.034384	Campu Stefanu
Praemegaceros_cazioti	extinct	0.0468	0.516	Sa Cona Cave: Teulada
Prolagus_sardus	extinct	0.0468	0.516	Sa Cona Cave: Teulada
Microtus_(Tyrrhenicola)_henseli	extinct	0.0468	0.516	Sa Cona Cave: Teulada
Asoriculus_similis	extinct	0.0468	0.516	Sa Cona Cave: Teulada
Rhagamys_orthodon	extinct	0.0468	0.516	Sa Cona Cave: Teulada
Cynotherium_sardous	extinct	0.0468	0.516	Sa Cona Cave: Teulada
Prolagus_sardus	extinct	0.033104	0.516	Surconis: Bolotana
Microtus_(Tyrrhenicola)_henseli	extinct	0.033104	0.516	Surconis: Bolotana
Rhagamys_orthodon	extinct	0.033104	0.516	Surconis: Bolotana
Cynotherium_sardous	extinct	0.033104	0.516	Surconis: Bolotana
Praemegaceros_cazioti	extinct	0.033104	0.516	Surconis: Bolotana
Cynotherium_malatestai	extinct	2	3.2	Grotta dei Fiori
Microtus_(Tyrrhenicola)_henseli	extinct	2	3.2	Grotta dei Fiori
Talpa_tyrrhenica	extinct	2	3.2	Grotta dei Fiori
Asoriculus_similis	extinct	2	3.2	Grotta dei Fiori
Rhagamys_orthodon	extinct	2	3.2	Grotta dei Fiori
Prolagus_sardus	extinct	2	3.2	Grotta dei Fiori
Sardomeryx_oschiriensis	extinct	67.6	80	Oschiri
Sardomeryx_oschiriensis	extinct	72.64	75.84	Laerru
Peridyromys_aff_P_murinus	extinct	72.64	75.84	Laerru
Pecora_indet_Small_size_Laerru	extinct	72.64	75.84	Laerru
Pecora_indet_Very_small_size_Laerru	extinct	72.64	75.84	Laerru
Crocidosorex_(=Oligosorex)_antiquus	extinct	67.6	80	Oschiri
Geotrypus_oschiriensis	extinct	67.6	80	Oschiri
Nuragha_schreuderae	extinct	67.6	80	Oschiri
Sardomys_dawsonae	extinct	67.6	80	Oschiri
Sardomys_antoniettae	extinct	67.6	80	Oschiri
Pireddamys_rayi	extinct	67.6	80	Oschiri
Peridyromys_aff_P_murinus	extinct	67.6	80	Oschiri
Microdyromys_aff_M_koenigswaldi	extinct	67.6	80	Oschiri
Glis_major	extinct	67.6	80	Oschiri
Hyotherium_insularis	extinct	67.6	80	Oschiri
Bachitherium_sardus	extinct	67.6	80	Oschiri
Amphitragulus_(=Pomelomeryx)_sp	extinct	67.6	80	Oschiri
Amphitragulus_(=Pomelomeryx)_boulangeri	extinct	67.6	80	Oschiri
Moschidae_gen_et_sp_indet_Oschiri	extinct	67.6	80	Oschiri
Perissodactyla_gen_et_sp_indet_Oschiri	extinct	67.6	80	Oschiri
Microtus_(Tyrrhenicola)_henseli	extinct	0.0468	0.516	Su Concali Quarry: Samatzai
Rhagamys_orthodon	extinct	0.0468	0.516	Su Concali Quarry: Samatzai
Prolagus_sardus	extinct	0.0468	0.516	Su Concali Quarry: Samatzai
Cynotherium_malatestai	extinct	0.0468	0.516	Su Concali Quarry: Samatzai
Praemegaceros_cazioti	extinct	0.0468	0.516	Su Concali Quarry: Samatzai
Mammuthus_lamarmorai	extinct	0.116	0.284	Alghero
Mammuthus_lamarmorai	extinct	0.364	0.456	Las Tronas
Praemegaceros_cazioti	extinct	0.364	0.42	Las Tronas
Mammuthus_lamarmorai	extinct	0.764	0.972	San Giovanni in Sinis
Praemegaceros_cazioti	extinct	0.46	0.492	San Giovanni in Sinis
Microtus_(Tyrrhenicola)_henseli	extinct	0.46	0.492	San Giovanni in Sinis
Prolagus_sardus	extinct	0.46	0.492	San Giovanni in Sinis
Mammuthus_lamarmorai	extinct	0.492	1.8	Guardia Pisano (Funtana Morimenta)
Praemegaceros_cazioti	extinct	0.492	1.8	Guardia Pisano (Funtana Morimenta)
Mammuthus_lamarmorai	extinct	0.0468	0.492	Tramariglio: Porto Conte
Cynotherium_sardous	extinct	0.0468	0.492	Tramariglio: Porto Conte
Prolagus_sardus	extinct	0.0468	0.492	Tramariglio: Porto Conte
Mammuthus_lamarmorai	extinct	0.516	0.8	Campo Giavesu
Praemegaceros_aff_P_sardus	extinct	1.8	4	Su Fossu de Cannas cave: Sadali
Maremmia_lorenzi	extinct	26.8	28.4	Fiume Santo
Tyrrhenotragus_gracillimus	extinct	26.8	28.4	Fiume Santo
Etruria_viallii	extinct	26.8	28.4	Fiume Santo
Turritragus_casteanensis	extinct	26.8	28.4	Fiume Santo
Neotragini_gen_et_sp_indet_FS	extinct	26.8	28.4	Fiume Santo
Eumaiochoerus_etruscus	extinct	26.8	28.4	Fiume Santo
Oreopithecus_bambolii	extinct	26.8	28.4	Fiume Santo
Mustelidae_gen_et_sp_indet_FS	extinct	26.8	28.4	Fiume Santo
Umbrotherium_azzarolii	extinct	26.8	28.4	Fiume Santo
Huezelerimys_oreopitheci	extinct	26.8	28.4	Fiume Santo
Anthracomys_lorenzi	extinct	26.8	28.4	Fiume Santo
Anthracoglis_engesseri	extinct	26.8	28.4	Fiume Santo
Anthracoglis_nov_sp_FS	extinct	26.8	28.4	Fiume Santo
Oreopithecus_bambolii	extinct	32.4	33.2	Baccinello 
Kowalskia_sp_V1	extinct	32.4	33.2	Baccinello 
Huezelerimys_oreopitheci	extinct	32.4	33.2	Baccinello 
Parapodemus_sp_1	extinct	32.4	33.2	Baccinello 
Tyrrhenolutra_helbingi	extinct	32.4	33.2	Baccinello 
Maremmia_haupti	extinct	32.4	33.2	Baccinello 
Tyrrhenotragus_gracillimus	extinct	32.4	33.2	Baccinello 
Bovidae_gen_et_sp_indet_V1	extinct	32.4	33.2	Baccinello 
Etruria_viallii	extinct	32.4	33.2	Baccinello 
Anthracotheridae_gen_et_sp_indet_V1	extinct	32.4	33.2	Baccinello 
Anthracoglis_marinoi	extinct	32.4	33.2	Baccinello 
Gliridae_nov_gen_et_sp_V1	extinct	32.4	33.2	Baccinello 
Lartetium_sp_V1	extinct	32.4	33.2	Baccinello 
Paludotona_etruria	extinct	32.4	33.2	Baccinello 
Paludotona_minor	extinct	28.4	32.4	Baccinello 
Anthracomys_majori	extinct	28.4	32.4	Baccinello 
Oreopithecus_bambolii	extinct	28.4	32.4	Baccinello 
Eumaiochoerus_etruscus	extinct	28.4	32.4	Baccinello 
Bovidae_gen_et_sp_indet_V1/V2	extinct	28.4	32.4	Baccinello 
Tyrrhenotragus_gracillimus	extinct	28.4	32.4	Baccinello 
