series,order,family,genus,genus.species
Mammalia,Rodentia,Cricetidae,Rheomys,Rheomys_thomasi
Mammalia,Rodentia,Cricetidae,Rheomys,Rheomys_raptor
Mammalia,Rodentia,Cricetidae,Neusticomys,Neusticomys_peruviensis
Mammalia,Rodentia,Cricetidae,Neusticomys,Neusticomys_monticolus
Mammalia,Rodentia,Cricetidae,Neusticomys,Neusticomys_oyapocki
Mammalia,Rodentia,Cricetidae,Neusticomys,Neusticomys_mussoi
Mammalia,Rodentia,Cricetidae,Neusticomys,Neusticomys_ferreirai
Mammalia,Rodentia,Cricetidae,Neusticomys,Neusticomys_venezuelae
Mammalia,Rodentia,Cricetidae,Wilfredomys,Wilfredomys_oenax
Mammalia,Rodentia,Cricetidae,Abrawayaomys,Abrawayaomys_ruschii
Mammalia,Rodentia,Cricetidae,Abrawayaomys,Abrawayaomys_chebezi
Mammalia,Rodentia,Platacanthomyidae,Typhlomys,Typhlomys_cinereus
Mammalia,Rodentia,Platacanthomyidae,Platacanthomys,Platacanthomys_lasiurus
Mammalia,Rodentia,Dipodidae,Salpingotus,Salpingotus_heptneri
Mammalia,Rodentia,Dipodidae,Salpingotus,Salpingotus_crassicauda
Mammalia,Rodentia,Dipodidae,Salpingotus,Salpingotus_kozlovi
Mammalia,Rodentia,Dipodidae,Salpingotus,Salpingotus_pallidus
Mammalia,Rodentia,Dipodidae,Cardiocranius,Cardiocranius_paradoxus
Mammalia,Rodentia,Dipodidae,Salpingotulus,Salpingotulus_michaelis
Mammalia,Rodentia,Dipodidae,Euchoreutes,Euchoreutes_naso
Mammalia,Rodentia,Dipodidae,Dipus,Dipus_sagitta
Mammalia,Rodentia,Dipodidae,Stylodipus,Stylodipus_sungorus
Mammalia,Rodentia,Dipodidae,Stylodipus,Stylodipus_andrewsi
Mammalia,Rodentia,Dipodidae,Stylodipus,Stylodipus_telum
Mammalia,Rodentia,Dipodidae,Jaculus,Jaculus_orientalis
Mammalia,Rodentia,Dipodidae,Jaculus,Jaculus_jaculus
Mammalia,Rodentia,Dipodidae,Jaculus,Jaculus_blanfordi
Mammalia,Rodentia,Dipodidae,Eremodipus,Eremodipus_lichtensteini
Mammalia,Rodentia,Dipodidae,Paradipus,Paradipus_ctenodactylus
Mammalia,Rodentia,Dipodidae,Allactaga,Allactaga_williamsi
Mammalia,Rodentia,Dipodidae,Allactaga,Allactaga_vinogradovi
Mammalia,Rodentia,Dipodidae,Allactaga,Allactaga_euphratica
Mammalia,Rodentia,Dipodidae,Allactaga,Allactaga_toussi
Mammalia,Rodentia,Dipodidae,Allactaga,Allactaga_tetradactyla
Mammalia,Rodentia,Dipodidae,Allactaga,Allactaga_elater
Mammalia,Rodentia,Dipodidae,Allactaga,Allactaga_hotsoni
Mammalia,Rodentia,Dipodidae,Allactaga,Allactaga_firouzi
Mammalia,Rodentia,Dipodidae,Allactaga,Allactaga_severtzovi
Mammalia,Rodentia,Dipodidae,Allactaga,Allactaga_major
Mammalia,Rodentia,Dipodidae,Allactodipus,Allactodipus_bobrinskii
Mammalia,Rodentia,Dipodidae,Pygeretmus,Pygeretmus_pumilio
Mammalia,Rodentia,Dipodidae,Pygeretmus,Pygeretmus_platyurus
Mammalia,Rodentia,Dipodidae,Pygeretmus,Pygeretmus_zhitkovi
Mammalia,Rodentia,Dipodidae,Allactaga,Allactaga_balikunica
Mammalia,Rodentia,Dipodidae,Allactaga,Allactaga_bullata
Mammalia,Rodentia,Dipodidae,Allactaga,Allactaga_sibirica
Mammalia,Rodentia,Dipodidae,Eozapus,Eozapus_setchuanus
Mammalia,Rodentia,Dipodidae,Zapus,Zapus_trinotatus
Mammalia,Rodentia,Dipodidae,Zapus,Zapus_princeps
Mammalia,Rodentia,Dipodidae,Zapus,Zapus_hudsonius
Mammalia,Rodentia,Dipodidae,Napaeozapus,Napaeozapus_insignis
Mammalia,Rodentia,Dipodidae,Sicista,Sicista_caucasica
Mammalia,Rodentia,Dipodidae,Sicista,Sicista_napaea
Mammalia,Rodentia,Dipodidae,Sicista,Sicista_severtzovi
